"date","max_temp","mean_temp","min_temp","Day"
"19790101","2.3","-4.1","-7.5","1"
"19790102","1.6","-2.6","-7.5","2"
"19790103","1.3","-2.8","-7.2","3"
"19790104","-0.3","-2.6","-6.5","4"
"19790105","5.6","-0.8","-1.4","5"
"19790106","8.3","-0.5","-6.6","6"
"19790107","8.5","1.5","-5.3","7"
"19790108","5.8","6.9","5.3","8"
"19790109","5.2","3.7","1.6","9"
"19790110","4.9","3.3","1.4","10"
"19790111","2.9","2.6","0.3","11"
"19790112","2","0.4","-2","12"
"19790113","4.3","-2.6","-7.1","13"
"19790114","6.7","-0.6","-5.6","14"
"19790115","5.9","3.8","1","15"
"19790116","2.6","5","4.1","16"
"19790117","1.9","2.1","1.6","17"
"19790118","3","0.8","-0.2","18"
"19790119","7.2","0.8","-1.4","19"
"19790120","3.5","3.1","-1","20"
"19790121","1.5","0","-3.5","21"
"19790122","0.3","-0.2","-1.8","22"
"19790123","2.9","-1","-2.3","23"
"19790124","5.6","-1.4","-5.6","24"
"19790125","2.8","0.6","-4.5","25"
"19790126","1.6","0.8","-1.1","26"
"19790127","4.5","-1.8","-5.2","27"
"19790128","4.8","0","-4.4","28"
"19790129","4","1.9","-1","29"
"19790130","7.3","0.7","-2.6","30"
"19790131","9.1","2.1","-3.1","31"
"19790201","4","5.2","1.2","32"
"19790202","5.9","2.8","1.5","33"
"19790203","4.5","0.9","-4.1","34"
"19790204","6","1.6","-1.2","35"
"19790205","4","3.7","1.4","36"
"19790206","6.8","1.2","-1.6","37"
"19790207","3.7","3.3","-0.2","38"
"19790208","4","2","0.3","39"
"19790209","3.5","2.4","0.8","40"
"19790210","2.9","2.8","2.1","41"
"19790211","5.4","2.4","1.9","42"
"19790212","8.1","2.8","0.3","43"
"19790213","0.2","4.2","0.3","44"
"19790214","-0.8","-0.2","-0.7","45"
"19790215","0.6","-2.2","-3.7","46"
"19790216","-0.8","-1.2","-3.1","47"
"19790217","0.7","-1.2","-1.5","48"
"19790218","1.9","-0.6","-1.8","49"
"19790219","2.8","0.5","-0.9","50"
"19790220","3.6","1.6","0.3","51"
"19790221","7.4","2.1","0.6","52"
"19790222","8.7","4.3","1.2","53"
"19790223","5.5","4.4","0.2","54"
"19790224","6.9","2.9","0.3","55"
"19790225","6.7","1.8","-3.4","56"
"19790226","8.9","1.6","-3.4","57"
"19790227","6.1","3.7","-1.5","58"
"19790228","9.7","4.4","2.7","59"
"19790301","11.9","3.5","-2.7","60"
"19790302","12.6","6.8","1.6","61"
"19790303","10.5","11","9.4","62"
"19790304","11","7.4","4.3","63"
"19790305","9","5.4","-0.1","64"
"19790306","9.4","6.3","3.6","65"
"19790307","10.5","5.6","1.9","66"
"19790308","11","5.6","0.7","67"
"19790309","11.5","7.8","4.5","68"
"19790310","13.8","5.8","0","69"
"19790311","10.7","8.2","2.7","70"
"19790312","4.9","7.2","3.7","71"
"19790313","3.8","4.6","4.4","72"
"19790314","2.5","2.8","1.8","73"
"19790315","1.3","1.8","1.2","74"
"19790316","6.9","0.7","0.1","75"
"19790317","9.1","3.5","0.1","76"
"19790318","6.1","5.1","1.1","77"
"19790319","11","4.2","2.4","78"
"19790320","8.5","7","3","79"
"19790321","9.6","5.7","2.9","80"
"19790322","9.2","5","0.5","81"
"19790323","11.5","3.1","-3","82"
"19790324","15.3","5","-1.6","83"
"19790325","8","10.2","5","84"
"19790326","11.3","6.2","4.3","85"
"19790327","8.1","7.2","3","86"
"19790328","7.6","4.8","1.4","87"
"19790329","7.6","4.8","1.9","88"
"19790330","10.6","5.5","3.4","89"
"19790331","11.6","5.4","0.3","90"
"19790401","8.3","8","4.5","91"
"19790402","8.6","4.4","0.5","92"
"19790403","7.9","3.8","-1.1","93"
"19790404","8","4","0","94"
"19790405","7.9","4","0","95"
"19790406","9.8","3.1","-1.7","96"
"19790407","9.3","5.8","1.8","97"
"19790408","13.7","6.8","4.2","98"
"19790409","16.1","9.5","5.3","99"
"19790410","15.9","11.8","7.5","100"
"19790411","12.8","13.1","10.3","101"
"19790412","17.5","10.1","7.4","102"
"19790413","21.7","12.8","8","103"
"19790414","22.4","15.2","8.6","104"
"19790415","15.2","15.3","8.2","105"
"19790416","9","11.3","7.4","106"
"19790417","13.2","7.3","5.6","107"
"19790418","14.5","7.2","1.2","108"
"19790419","12.7","10.2","5.9","109"
"19790420","12.3","10.6","8.4","110"
"19790421","13.5","8","3.7","111"
"19790422","13.5","8.7","3.9","112"
"19790423","11.5","11","8.4","113"
"19790424","11.4","9","6.5","114"
"19790425","12","7.4","3.5","115"
"19790426","12","8.6","5.2","116"
"19790427","12.6","9.3","6.6","117"
"19790428","13.9","9.8","6.9","118"
"19790429","10.9","8","2.1","119"
"19790430","7.5","8.2","5.5","120"
"19790501","8","5.6","3.8","121"
"19790502","10","4.6","1.1","122"
"19790503","9.1","4.6","-0.9","123"
"19790504","11.1","4.4","-0.3","124"
"19790505","12.4","6.4","1.7","125"
"19790506","15","6.7","1","126"
"19790507","16","9.4","3.9","127"
"19790508","15.6","11.2","6.4","128"
"19790509","13.6","10","4.5","129"
"19790510","16.1","10.4","7.3","130"
"19790511","20.8","12.6","9.2","131"
"19790512","23.4","16","11.2","132"
"19790513","26.1","17.4","11.5","133"
"19790514","26.2","18.5","10.9","134"
"19790515","22.5","19.6","12.9","135"
"19790516","15.2","17.4","12.4","136"
"19790517","16","11.8","8.5","137"
"19790518","17.2","12.2","8.3","138"
"19790519","14","10.9","4.6","139"
"19790520","15.1","11.2","8.5","140"
"19790521","15.8","11.8","8.4","141"
"19790522","14.3","11.7","7.6","142"
"19790523","14.6","11.8","9.4","143"
"19790524","13.4","11","7.3","144"
"19790525","15.5","9.4","5.4","145"
"19790526","15.9","11","6.6","146"
"19790527","15.9","11.3","6.7","147"
"19790528","18.6","11.6","7.2","148"
"19790529","20.1","15.8","13","149"
"19790530","16.2","16.1","12.1","150"
"19790531","18.7","13.8","11.5","151"
"19790601","21.2","13.6","8.4","152"
"19790602","19.2","16.4","11.5","153"
"19790603","19.3","15","10.8","154"
"19790604","20.4","15.9","12.5","155"
"19790605","16.7","16.5","12.6","156"
"19790606","14.4","12.5","8.3","157"
"19790607","17.2","12","9.5","158"
"19790608","18.7","12.2","7.3","159"
"19790609","17.9","15.4","12.2","160"
"19790610","16.2","15","12.1","161"
"19790611","15.4","13","9.7","162"
"19790612","18.1","12.4","9.4","163"
"19790613","16.4","15.3","12.5","164"
"19790614","16.1","14.4","12.5","165"
"19790615","19.2","11.8","7.4","166"
"19790616","20.7","14.6","9.9","167"
"19790617","22.6","17","13.3","168"
"19790618","25.5","18.7","14.8","169"
"19790619","25.8","19","12.6","170"
"19790620","19.4","19","12.2","171"
"19790621","20.1","17","14.6","172"
"19790622","19.5","15.2","10.3","173"
"19790623","16.6","14.9","10.3","174"
"19790624","18.5","13.8","11","175"
"19790625","19.9","14","9.5","176"
"19790626","21.4","15.2","10.5","177"
"19790627","20.8","16","10.6","178"
"19790628","17.6","15.5","10.2","179"
"19790629","16.6","15.8","13.9","180"
"19790630","18.5","14.1","11.6","181"
"19790701","18.7","13.8","9","182"
"19790702","22.1","15.1","11.5","183"
"19790703","23.4","16.9","11.7","184"
"19790704","25.5","18.4","13.4","185"
"19790705","25.1","19.3","13.1","186"
"19790706","21.9","19.6","14.1","187"
"19790707","23.1","17.6","13.4","188"
"19790708","20.8","18","13","189"
"19790709","22","18.6","16.5","190"
"19790710","20.8","17.2","12.4","191"
"19790711","25.1","17.4","14","192"
"19790712","26.2","18.4","11.6","193"
"19790713","22.1","19.3","12.4","194"
"19790714","21.1","17.6","13","195"
"19790715","23.6","18.3","15.5","196"
"19790716","26.7","17.8","12.1","197"
"19790717","21.8","20","13.4","198"
"19790718","17.7","18.9","16","199"
"19790719","21.5","15.8","14","200"
"19790720","19.5","17.6","13.6","201"
"19790721","18.1","16.2","13","202"
"19790722","18.7","13.8","9.4","203"
"19790723","21.1","15.8","12.9","204"
"19790724","25.2","16.7","12.3","205"
"19790725","27.1","18.9","12.6","206"
"19790726","29.9","20.2","13.2","207"
"19790727","27.4","22.2","14.6","208"
"19790728","19.8","21.9","16.4","209"
"19790729","21.5","18.6","17.3","210"
